item_id,item,level,category,score,achieved
1,3食食べた,Lv1,食事,2,1
2,タンパク質を摂った（肉・魚・卵・大豆など）,Lv1,食事,3,1
3,1回以上野菜を食べた,Lv1,食事,2,0
4,甘い飲み物を飲まなかった,Lv1,食事,2,1
5,21時以降に食事をしなかった,Lv1,食事,3,1
6,6時間以上眠れた,Lv1,生活,3,0
7,体重を測った,Lv1,生活,2,1
8,歩いた（通勤、階段、散歩など）,Lv1,運動,2,0
9,決まった時間に食事した（±1時間以内）,Lv2,食事,2,1
10,間食を1回以下に抑えた,Lv2,食事,3,1
11,外食・コンビニを利用しなかった,Lv2,食事,2,1
12,アルコールを飲まなかった,Lv2,食事,3,1
13,決まった時間に起きた（±30分以内）,Lv2,生活,1,0
14,決まった時間に寝た（±30分以内）,Lv2,生活,2,1
15,水分を1.5L以上摂った,Lv2,生活,1,0
16,目標体重・期限が決まっている,Lv2,生活,2,1
17,30分以上運動した,Lv2,運動,3,0
30,24:00までに就寝した,Lv2,生活,2,1
31,23:00以降スマホ・PCを使わなかった,Lv2,生活,2,0
18,朝食を8:00〜10:00に摂った,Lv3,食事,1,1
19,昼食を11:00〜14:00に摂った,Lv3,食事,1,1
20,夕食を18:00〜21:00に摂った,Lv3,食事,2,1
21,カロリーを把握している,Lv3,食事,3,1
22,タンパク質を体重×1g以上摂った,Lv3,食事,3,1
23,腹八分目で食事を終えた,Lv3,食事,3,1
24,よく噛んで食べた（1口20回以上）,Lv3,食事,1,0
32,毎食野菜を食べた,Lv3,食事,2,0
25,食事・運動を記録した,Lv3,生活,2,1
26,ストレスを食以外で発散した,Lv3,生活,2,1
27,7時間以上眠れた,Lv3,生活,2,0
28,計画的に運動した,Lv3,運動,3,0
29,筋トレをした,Lv3,運動,3,0
